atc,name,dc_code,other_code
L01DC01,"bleomycin                                                                                                                                                                                                                                                 ",C0153601,C0007137
L01DC01,"bleomycin                                                                                                                                                                                                                                                 ",C0153601,C1272826
L01DC01,"bleomycin                                                                                                                                                                                                                                                 ",C0153601,C0278996
C07AA06,"timolol                                                                                                                                                                                                                                                   ",C0020538,C0017612
C07AA06,"timolol                                                                                                                                                                                                                                                   ",C0020538,C0028840
L01CB01,"etoposide                                                                                                                                                                                                                                                 ",C0153594,C0007131
L01CB01,"etoposide                                                                                                                                                                                                                                                 ",C0153594,C0149925
L01CB01,"etoposide                                                                                                                                                                                                                                                 ",C0149925,C0153594
L01CB01,"etoposide                                                                                                                                                                                                                                                 ",C0149925,C0007131
L01CA04,"vinorelbine                                                                                                                                                                                                                                               ",C0007131,C0278987
L01DC03,"mitomycin                                                                                                                                                                                                                                                 ",C0281361,C0577731
C02CA04,"doxazosin                                                                                                                                                                                                                                                 ",C1739363,C0020538
C02CA04,"doxazosin                                                                                                                                                                                                                                                 ",C1739363,C2937421
C05AD05,"procaine                                                                                                                                                                                                                                                  ",C0002921,C0002905
L01XX14,"tretinoin                                                                                                                                                                                                                                                 ",C0001144,C0870082
L01XX14,"tretinoin                                                                                                                                                                                                                                                 ",C0001144,C0023487
L01XX14,"tretinoin                                                                                                                                                                                                                                                 ",C0001144,C0025218
L01XX14,"tretinoin                                                                                                                                                                                                                                                 ",C0870082,C0001144
L01XX14,"tretinoin                                                                                                                                                                                                                                                 ",C0870082,C0023487
L01XX14,"tretinoin                                                                                                                                                                                                                                                 ",C0870082,C0025218
L01XX14,"tretinoin                                                                                                                                                                                                                                                 ",C0025218,C0001144
L01XX14,"tretinoin                                                                                                                                                                                                                                                 ",C0025218,C0870082
L01XX14,"tretinoin                                                                                                                                                                                                                                                 ",C0025218,C0023487
C07AB04,"acebutolol                                                                                                                                                                                                                                                ",C0151636,C0020538
C07AB04,"acebutolol                                                                                                                                                                                                                                                ",C0151636,C0085612
L01XX35,"anagrelide                                                                                                                                                                                                                                                ",C0040028,C0836924
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0600177,C0002103
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0600177,C0020649
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0600177,C0581377
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0600177,C0242073
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0600177,C0042109
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0600177,C0003469
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0020649,C0002103
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0020649,C0600177
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0020649,C0581377
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0020649,C0242073
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0020649,C0042109
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0020649,C0003469
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0581377,C0002103
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0581377,C0600177
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0581377,C0020649
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0581377,C0242073
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0581377,C0042109
C01CA04,"dopamine                                                                                                                                                                                                                                                  ",C0581377,C0003469
L01XA02,"carboplatin                                                                                                                                                                                                                                               ",C1140680,C0029925
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0039685,C0238397
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0039685,C3665605
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0039685,C0242855
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0039685,C0013274
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0039685,C0003492
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0039685,C0242350
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0039685,C0243002
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0039685,C2936170
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0238397,C0039685
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0238397,C3665605
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0238397,C0242855
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0238397,C0013274
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0238397,C0003492
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0238397,C0242350
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0238397,C0243002
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0238397,C2936170
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C3665605,C0039685
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C3665605,C0238397
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C3665605,C0242855
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C3665605,C0013274
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C3665605,C0003492
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C3665605,C0242350
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C3665605,C0243002
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C3665605,C2936170
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242855,C0039685
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242855,C0238397
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242855,C3665605
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242855,C0013274
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242855,C0003492
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242855,C0242350
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242855,C0243002
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242855,C2936170
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0003492,C0039685
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0003492,C0238397
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0003492,C3665605
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0003492,C0242855
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0003492,C0013274
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0003492,C0242350
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0003492,C0243002
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0003492,C2936170
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242350,C0039685
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242350,C0238397
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242350,C3665605
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242350,C0242855
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242350,C0013274
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242350,C0003492
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242350,C0243002
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0242350,C2936170
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0243002,C0039685
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0243002,C0238397
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0243002,C3665605
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0243002,C0242855
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0243002,C0013274
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0243002,C0003492
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0243002,C0242350
C01EA01,"alprostadil                                                                                                                                                                                                                                               ",C0243002,C2936170
C03AA08,"methyclothiazide                                                                                                                                                                                                                                          ",C0013604,C0020538
C03AA08,"methyclothiazide                                                                                                                                                                                                                                          ",C0013604,C0022661
C03AA08,"methyclothiazide                                                                                                                                                                                                                                          ",C0013604,C0156221
C03AA08,"methyclothiazide                                                                                                                                                                                                                                          ",C0013604,C0027726
C09AA01,"captopril                                                                                                                                                                                                                                                 ",C0011881,C0020538
C09AA01,"captopril                                                                                                                                                                                                                                                 ",C0011881,C0264716
C09AA01,"captopril                                                                                                                                                                                                                                                 ",C0011881,C1997351
C09AA01,"captopril                                                                                                                                                                                                                                                 ",C0264716,C0020538
C09AA01,"captopril                                                                                                                                                                                                                                                 ",C0264716,C0011881
C09AA01,"captopril                                                                                                                                                                                                                                                 ",C0264716,C1997351
C09AA01,"captopril                                                                                                                                                                                                                                                 ",C1997351,C0020538
C09AA01,"captopril                                                                                                                                                                                                                                                 ",C1997351,C0011881
C09AA01,"captopril                                                                                                                                                                                                                                                 ",C1997351,C0264716
C09DX04,"valsartan and sacubitril                                                                                                                                                                                                                                  ",C0264716,C0038454
C09DX04,"valsartan and sacubitril                                                                                                                                                                                                                                  ",C0264716,C0018801
C09DX04,"valsartan and sacubitril                                                                                                                                                                                                                                  ",C0264716,C0020538
C09DX04,"valsartan and sacubitril                                                                                                                                                                                                                                  ",C0264716,C0027051
C09DX04,"valsartan and sacubitril                                                                                                                                                                                                                                  ",C0264716,C0007820
L01BB06,"clofarabine                                                                                                                                                                                                                                               ",C0023449,C4054085
L01BB06,"clofarabine                                                                                                                                                                                                                                               ",C0023449,C0278519
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C1168401
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0311221
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0278511
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0008493
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C3163805
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0006142
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0033860
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0024305
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C1458155
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0153555
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0026948
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0006413
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0023449
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0003873
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0948840
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0242379
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0349557
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0585442
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0677908
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C1396879
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0278996
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C3495559
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C1135868,C0684249
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C1168401
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0311221
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0278511
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0008493
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0006142
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0033860
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0024305
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C1458155
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0153555
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0026948
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0006413
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0023449
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C1135868
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0003873
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0948840
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0242379
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0349557
L01BA01,"methotrexate                                                                                                                                                                                                                                              ",C3163805,C0585442
